user_id,session_id,auth_type,key,x,y,pressure,timestamp
genuine,1771628229088,pattern,swipe,286,503,1,1771628229603
genuine,1771628229088,pattern,swipe,287,508,1,1771628229620
genuine,1771628229088,pattern,swipe,287,512,1,1771628229636
genuine,1771628229088,pattern,swipe,287,515,1,1771628229652
genuine,1771628229088,pattern,swipe,287,518,1,1771628229669
genuine,1771628229088,pattern,swipe,287,519,1,1771628229686
genuine,1771628229088,pattern,swipe,288,520,1,1771628229702
genuine,1771628229088,pattern,swipe,288,520,1,1771628229719
genuine,1771628229088,pattern,swipe,287,520,1,1771628229728
genuine,1771628230680,pattern,swipe,81,336,1,1771628230681
genuine,1771628230680,pattern,swipe,81,336,1,1771628230701
genuine,1771628230680,pattern,swipe,93,334,1,1771628230719
genuine,1771628230680,pattern,swipe,105,331,1,1771628230734
genuine,1771628230680,pattern,swipe,135,322,1,1771628230752
genuine,1771628230680,pattern,swipe,153,318,1,1771628230768
genuine,1771628230680,pattern,swipe,191,312,1,1771628230786
genuine,1771628230680,pattern,swipe,216,310,1,1771628230801
genuine,1771628230680,pattern,swipe,231,311,1,1771628230818
genuine,1771628230680,pattern,swipe,245,314,1,1771628230835
genuine,1771628230680,pattern,swipe,261,318,1,1771628230851
genuine,1771628230680,pattern,swipe,278,321,1,1771628230869
genuine,1771628230680,pattern,swipe,310,327,1,1771628230918
genuine,1771628230680,pattern,swipe,304,324,1,1771628230902
genuine,1771628230680,pattern,swipe,314,330,1,1771628230934
genuine,1771628230680,pattern,swipe,315,334,1,1771628230951
genuine,1771628230680,pattern,swipe,315,336,1,1771628230968
genuine,1771628230680,pattern,swipe,315,339,1,1771628230986
genuine,1771628230680,pattern,swipe,314,345,1,1771628231001
genuine,1771628230680,pattern,swipe,312,353,1,1771628231017
genuine,1771628230680,pattern,swipe,308,362,1,1771628231034
genuine,1771628230680,pattern,swipe,303,375,1,1771628231050
genuine,1771628230680,pattern,swipe,297,396,1,1771628231068
genuine,1771628230680,pattern,swipe,291,420,1,1771628231084
genuine,1771628230680,pattern,swipe,288,443,1,1771628231100
genuine,1771628230680,pattern,swipe,287,464,1,1771628231117
genuine,1771628230680,pattern,swipe,286,480,1,1771628231134
genuine,1771628230680,pattern,swipe,285,492,1,1771628231151
genuine,1771628230680,pattern,swipe,284,501,1,1771628231168
genuine,1771628230680,pattern,swipe,284,503,1,1771628231185
genuine,1771628230680,pattern,swipe,284,510,1,1771628231201
genuine,1771628230680,pattern,swipe,283,517,1,1771628231234
genuine,1771628230680,pattern,swipe,282,520,1,1771628231250
